player_id,n_sessions,n_mdps,mean_mdp_intensity,peak_mdp_intensity,avg_mdp_duration,mean_hi_pct,typical_mdp_time,session_mean_mp,session_peak_mp,session_hi_pct
l50OjQaK,1,6,464.7799,2788.089,45.0,85.95447233569743,7670.0,111.65207,2788.089,36.27259870809922
Ev2dJRdE,1,6,453.78613,1718.8623,45.0,92.35217052420938,2465.0,145.08994,1992.0996,47.85675853410653
By29JL5K,2,12,400.65277,1621.6436,45.0,93.72363889641295,2835.0,98.772872,1824.9808,34.76815918690857
KAMPob0K,1,6,399.86633,1742.3047,45.0,100.0,1325.0,123.670135,2008.7878,40.74068561051488
B8PrW1OB,3,18,396.8513,1515.1222,45.0,91.080111958106,2685.0,123.19299333333333,1641.2692,44.55265263786893
BaPAJaLE,2,12,390.08374,1761.0847,45.0,93.39099839138534,3265.0,116.642655,1794.02405,43.88282702371316
EzaZ9vel,4,24,388.42017,2099.1252,45.0,93.24437123067312,2665.0,122.9941075,1915.5237750000001,42.10524529548303
l02nY1yB,1,6,385.27155,1747.3975,45.0,93.09594750720007,3670.0,122.097466,1948.425,40.2965725852305
lmWVD6rB,1,6,384.6414,2570.7559,45.0,81.30524430489605,4440.0,143.20433,2570.7559,50.2961962170027
EXJ5qbOK,1,6,382.5592,1652.6511,45.0,76.70853118556559,5125.0,142.26479,2142.8743,49.41064918504471
Bo3rL5QB,3,18,380.09903,1816.5488,45.0,91.02262194975889,3230.0,125.82261333333334,1672.1659,41.38927773320464
EdkeJXol,2,12,379.42563,1430.9236,45.0,95.38573584446742,2945.0,120.473545,1722.43865,42.32928534547018
KPDgYAXK,2,12,376.47018,1743.6545,45.0,93.2246090403038,3035.0,113.9470375,1627.316,40.08786267356583
E49PG1ZB,2,12,375.3317,1608.9507,45.0,85.1634319323829,2960.0,126.603415,2036.84635,45.85884295361865
EzaZO3el,1,6,374.20883,2207.7336,45.0,95.59234056196483,4470.0,130.20448,2207.7336,44.35133831685556
BL073xDB,2,12,367.1763,1669.5236,45.0,94.84690521334875,4045.0,121.47394,1673.5868,44.720140661897105
l5j7R16E,2,12,362.2795,1484.2853,45.0,92.93342767591113,2205.0,137.016055,1517.9611,50.53350690234489
K1p5eR0B,1,6,356.86423,2454.144,45.0,91.27008695363763,5085.0,107.038414,2454.144,40.048043925875085
Ez6pJq9E,3,18,356.13907,1822.8934,45.0,91.76879434976405,2625.0,96.15017133333333,1944.3046333333332,34.170782683622214
EGdqz5aB,2,12,355.92682,1565.5361,45.0,87.61352894677199,3275.0,107.3228775,1995.2846,37.59577889772231
EXJ5qnOK,1,6,346.00256,1665.2687,45.0,77.376023349788,5065.0,121.217186,1720.2177,46.01203332304844
EvLQ2knK,1,6,343.04382,1668.5626,45.0,87.69547984809371,5175.0,96.96201,2459.9048,35.83907855026719
EJbZAv3E,3,18,337.11172,2131.981,45.0,88.27913241680994,3530.0,104.065983,1847.834466666667,35.4111712113613
B8WjLwGE,1,6,321.19943,1642.9688,45.0,90.3530107627929,3660.0,99.94997,1805.9023,38.5565285840795
B9NMW4AK,1,6,310.50543,1441.0974,45.0,91.93481517515104,3040.0,107.88377,1950.6976,42.94652300962694
B8WjLwXE,3,18,302.70996,1554.1647,45.0,91.13207408103511,2580.0,130.68014666666667,1552.0463333333335,49.78607970637439
Eb06JQ3K,1,6,277.5705,2043.0402,45.0,82.29445940044555,3345.0,86.35716,2925.7622,29.094539392940227
